=== CanMod 통합 로그 ===
Generated: 2026-05-08 15:50:01.669
Firmware: 1.2.0
Build: FW120-2605081534-lilygot2can-bb4e5c9-33a85a365c78D
Env: lilygo_t2can
BuiltAt: 2026-05-08T15:34:05+09:00
Git: can-bus-stabilization/bb4e5c9 dirty=1 source=33a85a365c78
Uptime: 933595 ms
BUS-OFF 쿨다운: 1000 ms

=== [1] 런타임 로그 ===
[2026-05-08 15:49:40.552] 🥷 [B-NAG] 5s 880:+500 921:+0 Echo:+0 Drop:+0 | HO=0 DAS=0xFF Verdict=NO_921
[2026-05-08 15:49:40.552] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 15:49:40.552] 🔬 [B-DEEP] ArbLost:0|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 15:49:40.552] 🔍 [DBG] B-Other:705412 | B-LastID:697 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 15:49:43.897] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 15:49:45.553] 🟢 [A-CH] RX:5465 | 1021:5465 | mod:1691 | TX:OK=1681/Fail=10 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 15:49:45.553] 🔵 [B-CH] RX:818874|Filt:100106|Echo:0|TxFail:0|TEC:0/REC:0|921:0|DAS:255|TWAI:OK
[2026-05-08 15:49:45.554] 🥷 [B-NAG] 5s 880:+500 921:+0 Echo:+0 Drop:+0 | HO=0 DAS=0xFF Verdict=NO_921
[2026-05-08 15:49:45.554] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 15:49:45.554] 🔬 [B-DEEP] ArbLost:0|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 15:49:45.554] 🔍 [DBG] B-Other:718768 | B-LastID:697 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 15:49:49.397] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 15:49:50.555] 🟢 [A-CH] RX:5495 | 1021:5495 | mod:1701 | TX:OK=1691/Fail=10 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 15:49:50.556] 🔵 [B-CH] RX:833238|Filt:101106|Echo:0|TxFail:0|TEC:0/REC:0|921:0|DAS:255|TWAI:OK
[2026-05-08 15:49:50.556] 🥷 [B-NAG] 5s 880:+500 921:+0 Echo:+0 Drop:+0 | HO=0 DAS=0xFF Verdict=NO_921
[2026-05-08 15:49:50.556] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 15:49:50.556] 🔬 [B-DEEP] ArbLost:0|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 15:49:50.556] 🔍 [DBG] B-Other:732132 | B-LastID:778 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 15:49:54.897] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 15:49:55.557] 🟢 [A-CH] RX:5525 | 1021:5525 | mod:1711 | TX:OK=1701/Fail=10 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 15:49:55.558] 🔵 [B-CH] RX:847605|Filt:102106|Echo:0|TxFail:0|TEC:0/REC:0|921:0|DAS:255|TWAI:OK
[2026-05-08 15:49:55.558] 🥷 [B-NAG] 5s 880:+500 921:+0 Echo:+0 Drop:+0 | HO=0 DAS=0xFF Verdict=NO_921
[2026-05-08 15:49:55.558] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 15:49:55.558] 🔬 [B-DEEP] ArbLost:0|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 15:49:55.558] 🔍 [DBG] B-Other:745499 | B-LastID:81 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 15:50:00.397] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 15:50:00.559] 🟢 [A-CH] RX:5555 | 1021:5555 | mod:1721 | TX:OK=1711/Fail=10 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 15:50:00.559] 🔵 [B-CH] RX:861967|Filt:103107|Echo:0|TxFail:0|TEC:0/REC:0|921:0|DAS:255|TWAI:OK
[2026-05-08 15:50:00.560] 🥷 [B-NAG] 5s 880:+501 921:+0 Echo:+0 Drop:+0 | HO=0 DAS=0xFF Verdict=NO_921
[2026-05-08 15:50:00.560] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 15:50:00.560] 🔬 [B-DEEP] ArbLost:0|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 15:50:00.560] 🔍 [DBG] B-Other:758860 | B-LastID:794 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0

=== [2] BUS-OFF 이벤트 로그 ===
seq,wall_time,timestamp_ms,tec,rec,recovery_dur_ms,since_last_ms,recovered
(BUS-OFF 없음)

=== [3] 채널 상태 스냅샷 ===
A채널: RX=5561 1021=5561 mod=1723
A진단: TX OK=1713 Fail=10 | TEC=0/peak=0 REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00/peak=0x40 | BUS-OFF=0 | Cfg=SPI10000000->10000000/OSOFF/GuardOFF | Guard=OFF/0ms/TX_FAIL skip=130 count=5
A진단2: REC=0/peak=0 | LastRx=255ms ago | LastTx=305ms ago | EFLG이벤트=1
B채널: RX=865249 Filt=103336 Echo=0 TxFail=0 TEC=0 REC=0 TECpeak=0 921=0 DAS=255 TWAI=OK InitErr=0/0
B심층: ArbLost=0 BusErr=0 TxFailed=0 RxMissed=0 | EchoLat=0us EchoDrop=0 | Skip RT=0/HO=0/DAS=0
B나그판정: 880=10687(age=5ms) 921=0(age=0ms) Echo=0(age=0ms) | HO=0 Torque=0.05Nm DAS=0xFF Last=DAS_IDLE
B차단사유: OFF=0 HandsOn=0 DAS_IDLE=0 LateDrop=0 NoDAS_Echo=0
복구: 시도=0 성공=0 실패=0 마지막=0ms 최대소요=0ms
사용자마커: count=0 last_age=0ms detail=0

=== [4] 30분 시계열 로그 ===
# reset_at_ms=0 rec_start_ms=0 rec=OFF samples=120 interval_s=5
wall_time,timestamp_ms,busoff,tec,rec,arbLost,busErr,txFail,echo,f880,f921,ho,dasState,echoDrop,skipOff,skipHO,skipDAS,noDAS,userMark,d880,d921,dEcho,dDrop,dSkipOff,dSkipHO,dSkipDAS,dNoDAS,dUserMark,lastDecision,intervalDecision
2026-05-08 15:40:05.350,337276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:10.350,342276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:15.350,347276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:20.350,352276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:25.350,357276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:30.350,362276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:35.350,367276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:40.350,372276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:45.350,377276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:50.350,382276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:40:55.350,387276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:00.350,392276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:05.350,397276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:10.350,402276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:15.350,407276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:20.350,412276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:25.350,417276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:30.350,422276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:35.350,427276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:40.350,432276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:45.350,437276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:50.350,442276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:41:55.350,447276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:00.350,452276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:05.350,457276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:10.350,462276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:15.350,467276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:20.350,472276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:25.350,477276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:30.350,482276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:35.350,487276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:40.350,492276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:45.350,497276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:50.350,502276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:42:55.350,507276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:00.350,512276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:05.350,517276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:10.350,522276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:15.350,527276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:20.350,532276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:25.350,537276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:30.350,542276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:35.350,547276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:40.350,552276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:45.350,557276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:50.350,562276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:43:55.350,567276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:44:00.350,572276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2026-05-08 15:44:05.350,577276,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
