=== CanMod 통합 로그 ===
Generated: 2026-05-08 16:15:09.898
Firmware: 1.2.0
Build: FW120-2605081602-lilygot2can-bb4e5c9-d2c3fe2bcc8aD
Env: lilygo_t2can
BuiltAt: 2026-05-08T16:02:41+09:00
Git: can-bus-stabilization/bb4e5c9 dirty=1 source=d2c3fe2bcc8a
Uptime: 725940 ms
BUS-OFF 쿨다운: 1000 ms

=== [1] 런타임 로그 ===
[2026-05-08 16:14:51.331] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+500 | Last=ECHO
[2026-05-08 16:14:51.331] 🔬 [B-DEEP] ArbLost:6565|BusErr:20|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 16:14:51.331] 🔍 [DBG] B-Other:601839 | B-LastID:665 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 16:14:51.778] 🔥 [B-CH] 나그 방어 발사 (토크=2290)
[2026-05-08 16:14:51.888] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 16:14:54.788] 🔥 [B-CH] 나그 방어 발사 (토크=2289)
[2026-05-08 16:14:56.333] 🟢 [A-CH] RX:4232 | 1021:4232 | mod:1410 | TX:OK=1402/Fail=8 | TEC=0/peak=0 | REC=0 | MERRF=1 | RX-OVR=1 | EFLG=0x00
[2026-05-08 16:14:56.333] 🔵 [B-CH] RX:696540|Filt:81340|Echo:8883|TxFail:0|TEC:0/REC:0|880:9387|921:0|923:1425|297:70528|DAS:255|TWAI:OK
[2026-05-08 16:14:56.333] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+501 Echo:+500 Drop:+0 | HO=0 DAS=0xFF Verdict=ECHO
[2026-05-08 16:14:56.333] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+500 | Last=ECHO
[2026-05-08 16:14:56.333] 🔬 [B-DEEP] ArbLost:9060|BusErr:20|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 16:14:56.333] 🔍 [DBG] B-Other:615200 | B-LastID:297 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 16:14:57.386] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 16:14:57.799] 🔥 [B-CH] 나그 방어 발사 (토크=2232)
[2026-05-08 16:15:00.811] 🔥 [B-CH] 나그 방어 발사 (토크=2284)
[2026-05-08 16:15:01.335] 🟢 [A-CH] RX:4262 | 1021:4262 | mod:1420 | TX:OK=1412/Fail=8 | TEC=0/peak=0 | REC=0 | MERRF=1 | RX-OVR=1 | EFLG=0x00
[2026-05-08 16:15:01.335] 🔵 [B-CH] RX:710908|Filt:82350|Echo:9383|TxFail:0|TEC:0/REC:0|880:9887|921:0|923:1435|297:71028|DAS:255|TWAI:OK
[2026-05-08 16:15:01.335] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+500 Echo:+500 Drop:+0 | HO=0 DAS=0xFF Verdict=ECHO
[2026-05-08 16:15:01.335] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+500 | Last=ECHO
[2026-05-08 16:15:01.335] 🔬 [B-DEEP] ArbLost:10135|BusErr:20|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 16:15:01.335] 🔍 [DBG] B-Other:628558 | B-LastID:697 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 16:15:02.388] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 16:15:03.819] 🔥 [B-CH] 나그 방어 발사 (토크=2272)
[2026-05-08 16:15:06.337] 🟢 [A-CH] RX:4293 | 1021:4293 | mod:1430 | TX:OK=1421/Fail=9 | TEC=0/peak=0 | REC=0 | MERRF=1 | RX-OVR=1 | EFLG=0x00
[2026-05-08 16:15:06.337] 🔵 [B-CH] RX:725280|Filt:83360|Echo:9883|TxFail:0|TEC:0/REC:0|880:10387|921:0|923:1445|297:71528|DAS:255|TWAI:OK
[2026-05-08 16:15:06.337] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+500 Echo:+500 Drop:+0 | HO=0 DAS=0xFF Verdict=ECHO
[2026-05-08 16:15:06.337] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+500 | Last=ECHO
[2026-05-08 16:15:06.337] 🔬 [B-DEEP] ArbLost:10790|BusErr:20|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:0/DAS:0
[2026-05-08 16:15:06.337] 🔍 [DBG] B-Other:641920 | B-LastID:81 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 16:15:06.820] 🔥 [B-CH] 나그 방어 발사 (토크=2218)
[2026-05-08 16:15:07.886] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 16:15:09.831] 🔥 [B-CH] 나그 방어 발사 (토크=2254)

=== [2] BUS-OFF 이벤트 로그 ===
seq,wall_time,timestamp_ms,tec,rec,recovery_dur_ms,since_last_ms,recovered
(BUS-OFF 없음)

=== [3] 채널 상태 스냅샷 ===
A채널: RX=4315 1021=4315 mod=1438
A진단: TX OK=1429 Fail=9 | TEC=0/peak=0 REC=0 | MERRF=1 | RX-OVR=1 | EFLG=0x00/peak=0x40 | BUS-OFF=0 | Cfg=SPI10000000->10000000/OSOFF/GuardOFF | Guard=OFF/0ms/NONE skip=0 count=0
A진단2: REC=0/peak=0 | LastRx=37ms ago | LastTx=37ms ago | EFLG이벤트=1
B채널: RX=735573 Filt=84085 Echo=10242 TxFail=0 TEC=0 REC=0 TECpeak=0 880=10746 921=0 923=1452 297=71887 DAS=255 TWAI=OK InitErr=0/0
B심층: ArbLost=11227 BusErr=20 TxFailed=0 RxMissed=0 | EchoLat=0us EchoDrop=0 | Skip RT=0/HO=0/DAS=0
B나그판정: 880=10746(age=8ms) 921=0(age=0ms) 923=1452(age=466ms) 297=71887(age=7ms) Echo=10242(age=8ms) | HO=0 Torque=0.04Nm DAS=0xFF Last=ECHO
B차단사유: OFF=0 HandsOn=0 DAS_IDLE=0 LateDrop=0 NoDAS_Echo=10242
복구: 시도=0 성공=0 실패=0 마지막=0ms 최대소요=0ms
사용자마커: count=0 last_age=0ms detail=0

=== [4] 30분 시계열 로그 ===
# reset_at_ms=0 rec_start_ms=0 rec=OFF samples=120 interval_s=5
wall_time,timestamp_ms,busoff,tec,rec,arbLost,busErr,txFail,echo,f880,f921,ho,dasState,echoDrop,skipOff,skipHO,skipDAS,noDAS,userMark,d880,d921,dEcho,dDrop,dSkipOff,dSkipHO,dSkipDAS,dNoDAS,dUserMark,lastDecision,intervalDecision
2026-05-08 16:05:11.220,127262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:16.220,132262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:21.220,137262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:26.220,142262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:31.220,147262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:36.220,152262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:41.220,157262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:46.220,162262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:51.220,167262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:05:56.220,172262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:01.220,177262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:06.220,182262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:11.220,187262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:16.220,192262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:21.220,197262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:26.220,202262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:31.220,207262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:36.220,212262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:41.220,217262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:46.220,222262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:51.220,227262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:06:56.220,232262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:01.220,237262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:06.220,242262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:11.220,247262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:16.220,252262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:21.220,257262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:26.220,262262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:31.220,267262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:36.220,272262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:41.220,277262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:46.220,282262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:51.220,287262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:07:56.220,292262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:01.220,297262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:06.220,302262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:11.220,307262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:16.220,312262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:21.220,317262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:26.220,322262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:31.220,327262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:36.220,332262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:41.220,337262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:46.220,342262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:51.220,347262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
2026-05-08 16:08:56.220,352262,0,0,0,0,20,0,0,504,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,395296
