=== CanMod 통합 로그 ===
Generated: 2026-05-08 17:41:54.953
Firmware: 1.2.0
Build: FW120-2605081735-lilygot2can-bb4e5c9-cdd6e881e542D
Env: lilygo_t2can
BuiltAt: 2026-05-08T17:35:51+09:00
Git: can-bus-stabilization/bb4e5c9 dirty=1 source=cdd6e881e542
Uptime: 342290 ms
BUS-OFF 쿨다운: 1000 ms

=== [1] 런타임 로그 ===
[2026-05-08 17:41:34.851] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+11 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=NO_ECHO
[2026-05-08 17:41:34.851] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 17:41:34.851] 🔬 [B-DEEP] ArbLost:454|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:1681/DAS:2680
[2026-05-08 17:41:34.852] 🔍 [DBG] B-Other:344483 | B-LastID:1271 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 17:41:38.098] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 17:41:39.852] 🟢 [A-CH] RX:1922 | 1021:1922 | mod:640 | TX:OK=632/Fail=8 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 17:41:39.852] 🔵 [B-CH] RX:398712|Filt:40883|Echo:2510|TxFail:0|TEC:0/REC:0|880:8196|921:0|923:679|297:32008|DAS:2@923|Mode:B|TWAI:OK
[2026-05-08 17:41:39.852] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+11 297:+501 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=NO_ECHO
[2026-05-08 17:41:39.852] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 17:41:39.852] 🔬 [B-DEEP] ArbLost:454|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:1681/DAS:2680
[2026-05-08 17:41:39.853] 🔍 [DBG] B-Other:357829 | B-LastID:297 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 17:41:43.595] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 17:41:44.854] 🟢 [A-CH] RX:1952 | 1021:1952 | mod:650 | TX:OK=642/Fail=8 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 17:41:44.854] 🔵 [B-CH] RX:413073|Filt:41894|Echo:2510|TxFail:0|TEC:0/REC:0|880:8696|921:0|923:690|297:32508|DAS:1@923|Mode:B|TWAI:OK
[2026-05-08 17:41:44.854] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+11 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x01@923 Verdict=NO_ECHO
[2026-05-08 17:41:44.854] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 17:41:44.854] 🔬 [B-DEEP] ArbLost:454|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:1681/DAS:2680
[2026-05-08 17:41:44.855] 🔍 [DBG] B-Other:371179 | B-LastID:697 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 17:41:48.596] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 17:41:49.856] 🟢 [A-CH] RX:1982 | 1021:1982 | mod:660 | TX:OK=652/Fail=8 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 17:41:49.856] 🔵 [B-CH] RX:427431|Filt:42904|Echo:2510|TxFail:0|TEC:0/REC:0|880:9196|921:0|923:700|297:33008|DAS:2@923|Mode:B|TWAI:OK
[2026-05-08 17:41:49.856] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=NO_ECHO
[2026-05-08 17:41:49.856] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 17:41:49.857] 🔬 [B-DEEP] ArbLost:454|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:1681/DAS:2680
[2026-05-08 17:41:49.857] 🔍 [DBG] B-Other:384527 | B-LastID:373 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-08 17:41:54.096] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-08 17:41:54.858] 🟢 [A-CH] RX:2012 | 1021:2012 | mod:670 | TX:OK=662/Fail=8 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-08 17:41:54.858] 🔵 [B-CH] RX:441798|Filt:43914|Echo:2510|TxFail:0|TEC:0/REC:0|880:9696|921:0|923:710|297:33508|DAS:2@923|Mode:B|TWAI:OK
[2026-05-08 17:41:54.858] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=NO_ECHO
[2026-05-08 17:41:54.858] 🚦 [B-GATE] Skip OFF/HO/DAS:+0/0/0 | NoDAS Echo:+0 | Last=DAS_IDLE
[2026-05-08 17:41:54.859] 🔬 [B-DEEP] ArbLost:454|BusErr:0|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/HO:1681/DAS:2680
[2026-05-08 17:41:54.859] 🔍 [DBG] B-Other:397884 | B-LastID:257 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0

=== [2] BUS-OFF 이벤트 로그 ===
seq,wall_time,timestamp_ms,tec,rec,recovery_dur_ms,since_last_ms,recovered
(BUS-OFF 없음)

=== [3] 채널 상태 스냅샷 ===
A채널: RX=2012 1021=2012 mod=670
A진단: TX OK=662 Fail=8 | TEC=0/peak=0 REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00/peak=0x40 | BUS-OFF=0 | Cfg=SPI10000000->10000000/OSOFF/GuardOFF | Guard=OFF/0ms/NONE skip=0 count=0
A진단2: REC=0/peak=0 | LastRx=331ms ago | LastTx=381ms ago | EFLG이벤트=1
B채널: RX=442131 Filt=43938 Echo=2510 TxFail=0 TEC=0 REC=0 TECpeak=0 880=9708 921=0 923=710 297=33520 DAS=2@923 Mode=B TWAI=OK InitErr=0/0
B심층: ArbLost=454 BusErr=0 TxFailed=0 RxMissed=0 | EchoLat=0us EchoDrop=0 | Skip RT=0/HO=1681/DAS=2680
B나그판정: 880=9708(age=8ms) 921=0(age=0ms) 923=710(age=433ms) 297=33520(age=5ms) Echo=2510(age=28379ms) | Mode=B AP=1 Phase=0 HO=0 Torque=-0.03Nm DAS=0x02@923 Last=DAS_IDLE
B차단사유: OFF=0 HandsOn=1681 DAS_IDLE=2680 LateDrop=0 NoDAS_Echo=0
복구: 시도=0 성공=0 실패=0 마지막=0ms 최대소요=0ms
사용자마커: count=0 last_age=0ms detail=0
Web진단: status=71(age=445ms dur=10/19ms) nagStats=192(age=947ms dur=5/5ms) logsBundle=1(age=27ms dur=0/0ms) heap=212468/180340 apSta=1

=== [4] 30분 시계열 로그 ===
# reset_at_ms=0 rec_start_ms=0 rec=OFF samples=67 interval_s=5
wall_time,timestamp_ms,busoff,tec,rec,arbLost,busErr,txFail,echo,f880,f921,f923,ho,dasState,nagMode,dasSource,echoDrop,skipOff,skipHO,skipDAS,noDAS,userMark,d880,d921,d923,dEcho,dDrop,dSkipOff,dSkipHO,dSkipDAS,dNoDAS,dUserMark,lastDecision,intervalDecision
2026-05-08 17:36:24.922,12259,0,0,0,0,0,0,0,0,0,11,0,1,0,923,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:29.922,17259,0,0,0,0,0,0,0,0,0,21,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:34.922,22259,0,0,0,0,0,0,0,0,0,31,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:39.922,27259,0,0,0,0,0,0,0,0,0,41,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:44.922,32259,0,0,0,0,0,0,0,0,0,51,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:49.922,37259,0,0,0,0,0,0,0,0,0,61,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:54.922,42259,0,0,0,0,0,0,0,0,0,71,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:36:59.922,47259,0,0,0,0,0,0,0,0,0,81,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:04.922,52259,0,0,0,0,0,0,0,0,0,91,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:09.922,57259,0,0,0,0,0,0,0,0,0,102,0,1,0,923,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:14.922,62259,0,0,0,0,0,0,0,0,0,112,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:19.922,67259,0,0,0,0,0,0,0,0,0,122,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:24.922,72259,0,0,0,0,0,0,0,0,0,132,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:29.922,77259,0,0,0,0,0,0,0,0,0,142,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:34.922,82259,0,0,0,0,0,0,0,0,0,152,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:39.922,87259,0,0,0,0,0,0,0,0,0,162,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:44.922,92259,0,0,0,0,0,0,0,0,0,172,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:49.922,97259,0,0,0,0,0,0,0,0,0,182,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:54.922,102259,0,0,0,0,0,0,0,0,0,192,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:37:59.922,107259,0,0,0,0,0,0,0,0,0,203,0,1,0,923,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:04.922,112259,0,0,0,0,0,0,0,0,0,213,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:09.922,117259,0,0,0,0,0,0,0,0,0,223,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:14.922,122259,0,0,0,0,0,0,0,0,0,233,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:19.922,127259,0,0,0,0,0,0,0,0,0,243,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:24.922,132259,0,0,0,0,0,0,0,0,0,253,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:29.922,137259,0,0,0,0,0,0,0,0,0,263,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:34.922,142259,0,0,0,0,0,0,0,0,0,273,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:39.922,147259,0,0,0,0,0,0,0,0,0,283,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:44.922,152259,0,0,0,0,0,0,0,0,0,293,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:49.922,157259,0,0,0,0,0,0,0,0,0,304,0,1,0,923,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:54.922,162259,0,0,0,0,0,0,0,0,0,314,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:38:59.922,167259,0,0,0,0,0,0,0,0,0,324,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:04.922,172259,0,0,0,0,0,0,0,0,0,334,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:09.922,177259,0,0,0,0,0,0,0,0,0,344,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:14.922,182259,0,0,0,0,0,0,0,0,0,354,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:19.922,187259,0,0,0,0,0,0,0,0,0,364,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:24.922,192259,0,0,0,0,0,0,0,0,0,374,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:29.922,197259,0,0,0,0,0,0,0,0,0,384,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:34.922,202259,0,0,0,0,0,0,0,0,0,394,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:39.922,207259,0,0,0,0,0,0,0,0,0,405,0,1,0,923,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:44.922,212259,0,0,0,0,0,0,0,0,0,415,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:49.922,217259,0,0,0,0,0,0,0,0,0,425,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:54.922,222259,0,0,0,0,0,0,0,0,0,435,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:39:59.922,227259,0,0,0,0,0,0,0,0,0,445,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:40:04.922,232259,0,0,0,0,0,0,0,0,0,455,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:40:09.922,237259,0,0,0,0,0,0,0,0,0,465,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:40:14.922,242259,0,0,0,0,0,0,0,0,0,475,0,1,0,923,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
2026-05-08 17:40:19.922,247259,0,0,0,9,0,0,118,203,0,486,0,2,0,923,0,0,0,85,0,0,203,0,11,118,0,0,0,85,0,0,1,1,1
2026-05-08 17:40:24.922,252259,0,0,0,64,0,0,534,703,0,497,0,2,0,923,0,0,0,169,0,0,500,0,11,416,0,0,0,84,0,0,1,1,1
