=== CanMod 통합 로그 ===
Generated: 2026-05-10 07:12:56.875
Firmware: 1.2.0
Build: FW120-2605091728
Env: lilygo_t2can
BuiltAt: 2026-05-09T17:28:31+09:00
Git: can-bus-stabilization/35a0819 dirty=1 source=fbdb779ac447
Uptime: 1743850 ms (00:29:03)
BUS-OFF 쿨다운: 1000 ms

=== [1] 런타임 로그 ===
[2026-05-10 07:12:38.409] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-10 07:12:40.359] 🟢⚡ [A-CH] TSLLC 주입 완료: 정지/출발 제어 활성
[2026-05-10 07:12:40.712] 🟢 [A-CH] RX:10318 | 1021:10318 | mod:3440 | TX:OK=6164/Fail=116 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-10 07:12:40.712] 🔵 [B-CH] RX:4887992|Filt:345159|Echo:54073|TxFail:0|TEC:0/REC:0|880:168774|921:0|923:4487|297:171898|DAS:1@923|Mode:B|TWAI:O
[2026-05-10 07:12:40.712] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=1 DAS=0x01@923 Verdict=AP_BLOCK
[2026-05-10 07:12:40.713] 🚦 [B-GATE] Skip OFF/AP/HO/DAS:+0/500/0/0 | NoDAS Echo:+0 | Last=AP_BLOCK
[2026-05-10 07:12:40.713] 🔬 [B-DEEP] ArbLost:55967|BusErr:21|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/AP:62207/HO:1876/DAS:7211
[2026-05-10 07:12:40.713] 🔍 [DBG] B-Other:4542833 | B-LastID:1271 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-10 07:12:43.909] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-10 07:12:45.360] 🟢⚡ [A-CH] TSLLC 주입 완료: 정지/출발 제어 활성
[2026-05-10 07:12:45.714] 🟢 [A-CH] RX:10348 | 1021:10348 | mod:3450 | TX:OK=6184/Fail=116 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-10 07:12:45.714] 🔵 [B-CH] RX:4902375|Filt:346171|Echo:54073|TxFail:0|TEC:0/REC:0|880:169275|921:0|923:4498|297:172398|DAS:2@923|Mode:B|TWAI:O
[2026-05-10 07:12:45.715] 🥷 [B-NAG] 5s 880:+501 921:+0 923:+11 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=AP_BLOCK
[2026-05-10 07:12:45.715] 🚦 [B-GATE] Skip OFF/AP/HO/DAS:+0/501/0/0 | NoDAS Echo:+0 | Last=AP_BLOCK
[2026-05-10 07:12:45.715] 🔬 [B-DEEP] ArbLost:55967|BusErr:21|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/AP:62708/HO:1876/DAS:7211
[2026-05-10 07:12:45.715] 🔍 [DBG] B-Other:4556204 | B-LastID:880 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-10 07:12:48.910] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-10 07:12:50.716] 🟢 [A-CH] RX:10378 | 1021:10378 | mod:3460 | TX:OK=6204/Fail=116 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-10 07:12:50.716] 🔵 [B-CH] RX:4916740|Filt:347182|Echo:54073|TxFail:0|TEC:0/REC:0|880:169775|921:0|923:4508|297:172899|DAS:2@923|Mode:B|TWAI:O
[2026-05-10 07:12:50.717] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+501 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=AP_BLOCK
[2026-05-10 07:12:50.717] 🚦 [B-GATE] Skip OFF/AP/HO/DAS:+0/500/0/0 | NoDAS Echo:+0 | Last=AP_BLOCK
[2026-05-10 07:12:50.717] 🔬 [B-DEEP] ArbLost:55967|BusErr:21|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/AP:63208/HO:1876/DAS:7211
[2026-05-10 07:12:50.717] 🔍 [DBG] B-Other:4569558 | B-LastID:273 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-10 07:12:50.861] 🟢⚡ [A-CH] TSLLC 주입 완료: 정지/출발 제어 활성
[2026-05-10 07:12:54.409] 🔵⚡ [A-CH] 작동 OK: EAP 규제 완화 주입 완료
[2026-05-10 07:12:55.718] 🟢 [A-CH] RX:10408 | 1021:10408 | mod:3470 | TX:OK=6224/Fail=116 | TEC=0/peak=0 | REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00
[2026-05-10 07:12:55.718] 🔵 [B-CH] RX:4931120|Filt:348192|Echo:54073|TxFail:0|TEC:0/REC:0|880:170275|921:0|923:4518|297:173399|DAS:2@923|Mode:B|TWAI:O
[2026-05-10 07:12:55.719] 🥷 [B-NAG] 5s 880:+500 921:+0 923:+10 297:+500 Echo:+0 Drop:+0 | Mode=B AP=1 Phase=0 HO=0 DAS=0x02@923 Verdict=AP_BLOCK
[2026-05-10 07:12:55.719] 🚦 [B-GATE] Skip OFF/AP/HO/DAS:+0/500/0/0 | NoDAS Echo:+0 | Last=AP_BLOCK
[2026-05-10 07:12:55.719] 🔬 [B-DEEP] ArbLost:55967|BusErr:21|TxFailed:0|RxMissed:0|EchoLat:0us|EchoDrop:0|Skip RT:0/AP:63708/HO:1876/DAS:7211
[2026-05-10 07:12:55.719] 🔍 [DBG] B-Other:4582928 | B-LastID:1271 | TWAI-Code:1 | CanTaskOK:1 | BDriverOK:1 | TWAIerr:0/0
[2026-05-10 07:12:56.360] 🟢⚡ [A-CH] TSLLC 주입 완료: 정지/출발 제어 활성

=== [2] BUS-OFF 이벤트 로그 ===
seq,wall_time,timestamp_ms,tec,rec,recovery_dur_ms,since_last_ms,recovered
(BUS-OFF 없음)

=== [3] 채널 상태 스냅샷 ===
A채널: RX=10415 1021=10415 mod=3472
A진단: TX OK=6229 Fail=116 | TEC=0/peak=0 REC=0 | MERRF=0 | RX-OVR=1 | EFLG=0x00/peak=0x40 | BUS-OFF=0 | Cfg=SPI10000000->10000000/OSOFF/GuardOFF | Guard=OFF/0ms/NONE skip=0 count=0
A진단2: REC=0/peak=0 | LastRx=39ms ago | LastTx=39ms ago | EFLG이벤트=1
B채널: RX=4934519 Filt=348430 Echo=54073 TxFail=0 TEC=0 REC=0 TECpeak=0 880=170393 921=0 923=4520 297=173517 DAS=2@923 Mode=B TWAI=OK InitErr=0/0
B심층: ArbLost=55967 BusErr=21 TxFailed=0 RxMissed=0 | EchoLat=0us EchoDrop=0 | Skip RT=0/AP=63826/HO=1876/DAS=7211
B나그판정: 880=170393(age=8ms) 921=0(age=0ms) 923=4520(age=315ms) 297=173517(age=7ms) Echo=54073(age=199816ms) | Mode=B AP=1 Phase=0 HO=0 Torque=-0.23Nm DAS=0x02@923 Last=AP_BLOCK
B차단사유: OFF=0 AP_BLOCK=63826 HandsOn=1876 DAS_IDLE=7211 LateDrop=0 NoDAS_Echo=0
복구: 시도=0 성공=0 실패=0 마지막=0ms 최대소요=0ms
사용자마커: count=0 last_age=0ms detail=0
Web진단: status=1238(age=234ms dur=13/45ms) nagStats=1222(age=220ms dur=8/9ms) logsBundle=1(age=29ms dur=0/0ms) heap=205532/131012 apSta=2 apChg=1(age=1650503ms)

=== [4] 10분 시계열 로그 ===
# reset_at_ms=0 rec_start_ms=0 rec=OFF samples=120 interval_s=5
wall_time,timestamp_ms,busoff,tec,rec,arbLost,busErr,txFail,echo,f880,f921,f923,ho,dasState,nagMode,dasSource,echoDrop,skipOff,skipAP,skipHO,skipDAS,noDAS,userMark,d880,d921,d923,dEcho,dDrop,dSkipOff,dSkipAP,dSkipHO,dSkipDAS,dNoDAS,dUserMark,lastDecision,intervalDecision,f297,apState,modeBPhase,steerDeg,realTorqueNm,modeBInject,modeBLastNm,age880Ms,ageDasMs,age297Ms,ageEchoMs,modeBStateAgeMs,modeBPhaseAgeMs,modeBFirstEchoDelayMs,modeBDelayTargetMs,d297,dModeBInject
2026-05-10 07:03:00.202,1147177,0,0,0,39488,21,0,34485,110723,0,3004,0,1,0,923,0,0,38182,1667,4400,0,0,500,0,14,205,0,0,0,0,295,0,0,4,1,113848,3,0,2.0,-0.24,32140,-1.08,2,5,5,502,65535,65535,0,0,500,0
2026-05-10 07:03:05.202,1152177,0,0,0,39522,21,0,34682,111223,0,3019,0,2,0,923,0,0,38182,1667,4703,0,0,500,0,15,197,0,0,0,0,303,0,0,1,1,114348,3,0,0.9,-0.23,32140,-1.08,2,185,5,2,65535,65535,0,0,500,0
2026-05-10 07:03:10.202,1157177,0,0,0,39753,21,0,34859,111723,0,3033,0,1,0,923,0,0,38182,1667,5026,0,0,500,0,14,177,0,0,0,0,323,0,0,4,1,114848,3,0,1.6,0.03,32140,-1.08,2,186,5,192,65535,65535,0,0,500,0
2026-05-10 07:03:15.202,1162177,0,0,0,40014,21,0,35015,112223,0,3049,0,1,0,923,0,0,38182,1667,5370,0,0,500,0,16,156,0,0,0,0,344,0,0,4,1,115348,3,0,1.2,-0.27,32140,-1.08,1,94,6,592,65535,65535,0,0,500,0
2026-05-10 07:03:20.202,1167177,0,0,0,40550,21,0,35186,112723,0,3064,0,1,0,923,0,0,38182,1667,5699,0,0,500,0,15,171,0,0,0,0,329,0,0,4,1,115848,3,0,1.2,-0.06,32140,-1.08,2,27,6,32,65535,65535,0,0,500,0
2026-05-10 07:03:25.202,1172177,0,0,0,40899,21,0,35343,113223,0,3082,0,1,0,923,0,0,38182,1667,6042,0,0,500,0,18,157,0,0,0,0,343,0,0,4,1,116348,3,0,1.6,-0.08,32140,-1.08,1,134,6,631,65535,65535,0,0,500,0
2026-05-10 07:03:30.202,1177177,0,0,0,41257,21,0,35535,113723,0,3098,0,2,0,923,0,0,38182,1667,6350,0,0,500,0,16,192,0,0,0,0,308,0,0,1,1,116848,3,0,1.4,-0.07,32140,-1.08,2,78,6,2,65535,65535,0,0,500,0
2026-05-10 07:03:35.202,1182177,0,0,0,41534,21,0,35737,114223,0,3115,0,1,0,923,0,0,38182,1667,6648,0,0,500,0,17,202,0,0,0,0,298,0,0,4,1,117348,3,0,1.6,-0.19,32140,-1.08,1,31,6,32,65535,65535,0,0,500,0
2026-05-10 07:03:40.202,1187177,0,0,0,41600,21,0,35899,114723,0,3128,0,1,0,923,0,0,38182,1667,6986,0,0,500,0,13,162,0,0,0,0,338,0,0,4,1,117848,3,0,0.9,-0.01,32140,-1.08,2,204,5,212,65535,65535,0,0,500,0
2026-05-10 07:03:45.202,1192177,0,0,0,41643,21,0,36260,115223,0,3139,0,2,0,923,0,0,38182,1667,7125,0,0,500,0,11,361,0,0,0,0,139,0,0,1,1,118348,3,0,0.4,-0.04,32140,-1.08,2,419,6,2,65535,65535,0,0,500,0
2026-05-10 07:03:50.202,1197177,0,0,0,41958,21,0,36674,115723,0,3152,0,2,0,923,0,0,38182,1667,7211,0,0,500,0,13,414,0,0,0,0,86,0,0,1,1,118848,3,0,0.0,-0.06,32140,-1.08,2,53,5,2,65535,65535,0,0,500,0
2026-05-10 07:03:55.202,1202177,0,0,0,42922,21,0,37174,116223,0,3162,0,2,0,923,0,0,38182,1667,7211,0,0,500,0,10,500,0,0,0,0,0,0,0,1,1,119348,3,0,0.4,-0.19,32140,-1.08,2,103,5,2,65535,65535,0,0,500,0
2026-05-10 07:04:00.202,1207177,0,0,0,43443,21,0,37674,116723,0,3172,0,2,0,923,0,0,38182,1667,7211,0,0,500,0,10,500,0,0,0,0,0,0,0,1,1,119848,3,0,0.3,-0.14,32140,-1.08,2,153,6,2,65535,65535,0,0,500,0
2026-05-10 07:04:05.202,1212177,0,0,0,43584,21,0,38174,117223,0,3196,0,2,0,923,0,0,38182,1667,7211,0,0,500,0,24,500,0,0,0,0,0,0,0,1,1,120348,3,0,-0.5,-0.19,32140,-1.08,2,164,5,2,65535,65535,0,0,500,0
2026-05-10 07:04:10.202,1217177,0,0,0,43712,21,0,38674,117723,0,3209,0,3,0,923,0,0,38182,1667,7211,0,0,500,0,13,500,0,0,0,0,0,0,0,1,1,120848,3,0,-0.6,-0.04,32140,-1.08,2,259,6,2,65535,65535,0,0,500,0
2026-05-10 07:04:15.202,1222177,0,0,0,44425,21,0,39174,118223,0,3219,0,3,0,923,0,0,38182,1667,7211,0,0,500,0,10,500,0,0,0,0,0,0,0,1,1,121348,3,0,-0.6,-0.04,32140,-1.08,3,306,5,3,65535,65535,0,0,500,0
2026-05-10 07:04:20.202,1227177,0,0,0,44957,21,0,39634,118723,0,3229,0,3,1,923,0,0,38182,1667,7211,0,0,500,0,10,460,0,0,0,0,0,0,0,1,1,121848,3,5,-0.5,-0.14,32308,0.71,2,357,6,2,2072,172,400,0,500,168
2026-05-10 07:04:25.202,1232177,0,0,0,44981,21,0,40134,119223,0,3242,0,4,1,923,0,0,38182,1667,7211,0,0,500,0,13,500,0,0,0,0,0,0,0,1,1,122348,3,6,-0.2,-0.25,32808,2.10,2,146,5,2,3272,172,1,0,500,500
2026-05-10 07:04:30.202,1237177,0,0,0,44985,21,0,40627,119723,0,3253,0,5,1,923,0,0,38182,1674,7211,0,0,500,0,11,493,0,0,0,7,0,0,0,1,1,122848,3,6,6.8,5.64,33301,-2.10,2,263,5,2,262,672,1,0,500,493
2026-05-10 07:04:35.202,1242177,0,0,0,44990,21,0,40775,120223,0,3267,0,1,1,923,0,0,38531,1677,7211,0,0,500,0,14,148,0,0,349,3,0,0,0,9,1,123348,2,0,0.0,-0.06,33449,-2.10,3,6,6,3522,5262,3512,0,0,500,148
2026-05-10 07:04:40.202,1247177,0,0,0,45074,21,0,40952,120723,0,3283,0,2,1,923,0,0,38778,1677,7211,0,0,500,0,16,177,0,0,247,0,0,0,0,1,1,123848,3,3,-1.1,-0.18,33626,1.33,3,471,6,3,2442,1742,700,0,500,177
2026-05-10 07:04:45.202,1252177,0,0,0,45261,21,0,41412,121223,0,3294,0,4,1,923,0,0,38778,1677,7211,0,0,500,0,11,460,0,0,0,0,0,0,0,1,1,124348,3,6,2.3,0.10,34086,-2.10,3,78,6,3,2543,143,400,0,500,460
2026-05-10 07:04:50.202,1257177,0,0,0,45504,21,0,41816,121723,0,3306,0,2,1,923,0,0,38778,1677,7211,0,0,500,0,12,404,0,0,0,0,0,0,0,1,1,124848,3,3,0.2,-0.06,34490,-1.02,3,363,6,3,2223,1523,700,0,500,404
2026-05-10 07:04:55.202,1262177,0,0,0,45776,21,0,42316,122223,0,3317,0,2,1,923,0,0,38778,1677,7211,0,0,500,0,11,500,0,0,0,0,0,0,0,1,1,125348,3,3,0.3,-0.12,34990,-0.71,3,3,6,3,7223,6523,700,0,500,500
2026-05-10 07:05:00.202,1267177,0,0,0,46162,21,0,42816,122723,0,3328,0,2,1,923,0,0,38778,1677,7211,0,0,500,0,11,500,0,0,0,0,0,0,0,1,1,125848,3,3,0.3,-0.11,35490,-1.06,3,181,6,3,12223,11523,700,0,500,500
2026-05-10 07:05:05.202,1272177,0,0,0,46723,21,0,43288,123223,0,3338,0,3,1,923,0,0,38778,1677,7211,0,0,500,0,10,472,0,0,0,0,0,0,0,8,1,126348,3,4,-0.1,-0.08,35962,0.50,3,277,6,283,273,273,0,400,500,472
2026-05-10 07:05:10.202,1277177,0,0,0,46940,21,0,43776,123723,0,3348,0,3,1,923,0,0,38778,1677,7211,0,0,500,0,10,488,0,0,0,0,0,0,0,1,1,126848,3,5,0.0,-0.15,36450,1.55,2,327,6,2,5273,373,400,0,500,488
2026-05-10 07:05:15.202,1282177,0,0,0,47107,21,0,44276,124223,0,3360,0,3,1,923,0,0,38778,1677,7211,0,0,500,0,12,500,0,0,0,0,0,0,0,1,1,127348,3,6,-1.5,-0.11,36950,2.10,2,102,6,2,10273,373,400,0,500,500
2026-05-10 07:05:20.202,1287177,0,0,0,47338,21,0,44571,124723,0,3373,0,2,1,923,0,0,38778,1677,7211,0,0,500,0,13,295,0,0,0,0,0,0,0,1,1,127848,3,3,0.7,-0.09,37245,-1.01,3,167,6,3,1673,973,700,0,500,295
2026-05-10 07:05:25.202,1292177,0,0,0,48056,21,0,45071,125223,0,3383,0,2,1,923,0,0,38778,1677,7211,0,0,500,0,10,500,0,0,0,0,0,0,0,1,1,128348,3,3,0.4,-0.10,37745,-1.45,2,217,5,2,6673,5973,700,0,500,500
